	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hoxd4a	9.30579901902926e-28	1.0886576198204	0.817	0	1.81481692469109e-23
hoxc4a	1.00377655195961e-07	0.358047520694014	0.254	0	0.00195756503163163
tmem30ab	6.41405650250797e-06	0.333377656689021	0.282	0.04	0.12508692991191
asxl2	0.000139944302101222	0.323432469414592	0.268	0.059	1
tktb	0.000178540096524716	0.286071941910665	0.225	0.04	1
ncam1b	0.000288191914655456	0.477178674320165	0.958	0.861	1
ddx10	0.000699360314312489	0.358888007196603	0.479	0.238	1
SAMD4B	0.000721635217985655	0.279438849578218	0.254	0.069	1
pgls	0.000806938378753168	0.263841994527199	0.254	0.069	1
rbms2a	0.00103319454554985	0.354989882585394	0.254	0.079	1
kri1	0.00104655394796006	0.352062805904546	0.549	0.297	1
cox4i1	0.0011597088135907	0.352669690639689	0.423	0.198	1
polr3b	0.00132106461525411	0.336983895302759	0.338	0.139	1
myl12.1	0.00145777495545665	0.322908710091036	0.338	0.139	1
prkag2a	0.00163985166133789	0.250396210306668	0.282	0.089	1
lamc1	0.00164565887759641	0.347528145032055	0.676	0.426	1
pask	0.00179619064459971	0.287964001251873	0.423	0.198	1
scaf11	0.00195285769108703	0.255698292867146	0.268	0.089	1
ext2	0.00198425701858566	0.273247901553081	0.282	0.099	1
pwwp2b	0.00210524772252883	-0.337730300673852	0.197	0.416	1
ints7	0.00210692579704582	0.463516957193138	0.592	0.396	1
gcfc2	0.00213917398320563	0.258141009162873	0.282	0.099	1
ccdc174	0.00223199485018715	0.258141009162873	0.268	0.089	1
pou3f2b	0.00236779343216667	0.269677503659996	0.324	0.129	1
efna2a	0.00259835287541629	-0.45758830482955	0.408	0.604	1
rfc4	0.00264736473363816	0.259785250390389	0.366	0.168	1
eif3ba	0.0029082617383884	0.33067724403183	0.493	0.287	1
alox12	0.00378167151602666	0.269677503659996	0.324	0.139	1
brca2	0.00383287252846171	0.333377656689021	0.479	0.257	1
caprin1a	0.00401608566265285	0.28317205140487	0.676	0.465	1
fam13a	0.00448637831277536	0.27399910961009	0.31	0.129	1
tjap1	0.00453936693719226	0.385232597252842	0.62	0.406	1
anapc2	0.00468344697525111	0.274792017044662	0.197	0.059	1
fabp3	0.00489491701386139	0.37437146765983	0.606	0.396	1
